"","title","body"
"24","'텔레그램 N번방' 사건..국회, 靑 넘을 수 있을까","국회가 이른바 ‘텔레그램 N번방’ 사건에 주목하는 이유는 국회가 운영하는 전자청원 시스템과 무관치 않다. 해당 사건이 입법화되면 국회 전자청원 시스템의 첫 번째 성과..."
"25","[오늘의 국회일정-13일]한국당, 오늘 합당 공식 인준","더불어민주당] *이해찬 당대표 - 공식 일정 없음 *이인영 원내대표 -09:30 정책조정회의 / 국회 본청 원내대표회의실 -10:00 싱하이밍 주한중국대사 예방 / 국회 본청 국회..."
"26","""20대 국회는 한마디로 '꼰대'.. 젊은 부모 이해 못해""","【베이비뉴스 이중삼 기자】 21대 국회의원 선거가 코앞으로 다가왔다. 4·15총선 이후 새로 꾸려질 국회가 해야 할 일은 무엇일까. 베이비뉴스는 아동과 양육자들의 권리를..."
"27","""20대 국회 마지막 임시회서 4·3특별법 처리해야""","제주4·3유족들이 제주4·3특별법 개정안의 국회 통과를 촉구하고 있다. 2019.9.20 /뉴스1 ⓒ News1 홍수영 기자 (제주=뉴스1) 홍수영 기자 = 제21대 국회의원 선거를 앞두고..."
"28","여야, 국회의원 선거구 획정안 다음달 5일 본회의 처리하기로","민주당 행정안전위원회 간사와 이채익 자유한국당 간사가 13일 오전 서울 여의도 국회에서 중앙선거관리위원회 관계자들과 회동을 갖고 제21대 국회의원선거 선거구 획정과..."
"29","제21대 국회의원선거 공명선거 추진 방안","의정부시(시장 안병용)는 2월13일 오전 7시 30분 시청 소회의실에서 ‘제21대 국회의원선거 공명선거 추진 방안’이라는 주제로 제468차 자치행정국 조찬포럼을 개최했다..."
"30","[TF포토] 인사말 하는 문희상 국회의장","[더팩트ㅣ국회=배정한 기자] 문희상 국회의장(오른쪽)이 13일 오전 서울 여의도 국회에서 의장실을 예방한 싱하이밍 주한 중국대사(왼쪽)를 만나 인사말을 하고 있다. hany..."
"31","[청년과 불평등①] ‘녹색당·기본소득당·미래당’ 21대 국회 “...","과제이지만 정치의 변화가 없으면 불가능하다.정동영 민주평화당 대표는 13일 오후 국회 의원회관에서 열린 <2020총선과 청년정치 대한민국 불평등을 논하다> 토론회에 참석..."
"32","할 일 많은 국회, 2월 임시국회는 아직 '미정'","[쿠키뉴스] 오준엽 기자 = 국회가 말로는 민생을 외치며 정쟁만을 이어가는 모습이다. 당초 여·야는 오늘(10일) 임시국회를 열고 신종코로나바이러스(우한폐렴) 대책마련을..."
"33","국회 찾은 싱하이밍 주한 중국대사 ""한국 국민·기업에 감사""","[앵커] 코로나 19 확산 우려 속 싱하이밍 신임 주한 중국대사가 오늘 국회를 찾았습니다. 어려운 시기 도움을 준 한국에 고맙다는 말을 전했는데요. 취재기자 연결합니다..."
"34","여야, 선거구 획정 2월 국회 마지막 본회의서 결론내기로","[서울=뉴시스] 고승민 기자 = 국회 행정안전위원회 민주당 홍익표 간사와 한국당 이채익 간사가 13일 서울 여의도 국회에서 중앙선관위 김세환 선거구획정위원장 등과..."
"35","與, 2월 국회서 고용연장 논의 제안","이해식 더불어민주당 대변인 [파이낸셜뉴스] 더불어민주당은 야당에 2월 임시국회에서 고용연장 논의를 진행하자고 촉구했다. 앞서 지난 11일 문재인 대통령은 고용노동부..."
"36","[TF사진관] 시진핑에게 보내는 위로의 편지 전달하는 문희상 국회...","문희상 국회의장(오른쪽)이 13일 오전 서울 여의도 국회에서 의장실을 예방한 싱하이밍 주한 중국대사를 만나 시진핑 주석에게 보내는 위로의 편지를 전달하고 있다. / 국회..."
"37","깜깜이 선거구· 코로나 변수..멀어지는 국회 세대교체","21대 국회에 출사표를 낸 정치 신인들이 늦어지는 선거구 획정과 신종코로나 바이러스 등 여파로 불리한 상황에 놓이게 됐다. 각 정당들은 4·15 총선 캐치프라이즈로 앞..."
"38","<U+2035>통합과 상생 포럼<U+2035> (대표의원 조정식 국회의원),‘2019년도 우...","김원태 기자] ‘통합과 상생 포럼’(대표의원 조정식 국회의원)이 2월 12일 국회 사무처가 선정하는 「2019년도 우수 국회의원연구단체」에 선정(재정ㆍ경제 분야) 되었다..."
"39","아베 총리, 야당 의원 야유 발언으로 일본 국회 파행 조짐","[쿠키뉴스] 조민규 기자 =아베 신조(安倍晋三) 일본 총리가 야당 국회의원에게 한 야유성 발언이 논란이다. 야당은 13일 아베 총리의 사죄와 문제 발언 철회를 요구하면서..."
"40","<포토>국회 본청에서 최고위원회·국회의원 연석회의 개최하는 대...","최경환 대안신당 대표와 장정숙 원내대표, 박지원 의원이 13일 오전 국회에서 열린 최고위원회·국회의원 연석회의에 참석하고 있다. ⓒ데일리안 박항구 기자 데일리안..."
"41","[전문] 문희상 국회의장, 2월 임시회 관련 국회의원 전원에게 서...","[공감신문] 박진종 기자=문희상 국회의장은 오는 17일 열리는 2월 임시국회와 관련해 “국회는 초당적인 자세로 입법부 본연의 임무에 매진해야 한다. 제20대 국회의 임기가..."
"42","'머니게임' 고수·이성민, '먹튀방지법' 국회에 발목..韓경제 최...","[마이데일리 = 이승길 기자] '먹튀 방지 법안'이 국회에 발목을 잡혔다. TF팀은 물론 한국 경제가 최대 위기에 봉착했다. 13일 방송된 tvN 수목드라마 '머니게임' 10회..."
"43","국회, 노태악 대법관 후보자 인사청문회 19일 개최","(서울=연합뉴스) 서혜림 기자 = 국회 대법관 임명동의에 관한 인사청문특별위원회는 19일 노태악 대법관 후보자에 대한 인사청문회를 개최한다. 특위는 13일 전체회의를..."
"44","'n번방 사건' 국회 청원 10만 명..문희상 ""국회가 응답할 때""","해외메신저 '텔레그램'을 통한 성범죄를 막아달라는 국회 청원이 10만 명의 동의를 받아 소관 상임위에 회부됐습니다. 이 청원은 지난달 15일 국회 '국민동의청원' 홈페이지..."
"45","[사설] 물 건너간 국회의원 선거구개편","21대 총선(4월15일)이 코앞에 다가왔다. 국회와 정치권은 아직까지 국민의 바람인 합리적 선거구를 획정하지 못하고 있는채 선거를 치룰 것 같다. 이번 총선에서는 지역구..."
"46","조승래, 국회 교육위원회 위원장 직무 대리","더불어민주당 의원 [이데일리 이정현 기자] 조승래 더불어민주당 국회의원(대전 유성구 갑)이 국회 교육위원회 위원장 직무 대리를 맡는다고 12일 밝혔다. 전날 이찬열 의원..."
"47","엄재철 정의당 춘천시위원장 국회의원 출마 선언","12일 엄재철 정의당 춘천시위원장이 춘천시청 기자실에서 4 .15 총선 춘천 선거구 국회의원 출마 기자회견을 열었다.(사진=진유정기자) 예비후보로 등록한 엄재철 정의당..."
"48","문턱 낮춘 '국회청원'..'N번방' 딛고 '청와대청원' 만큼 될까","지난 10일 통과된 '텔레그램에서 발생하는 디지털성범죄 해결에 관한 청원' 페이지. 국회 국민동의청원 홈페이지 캡처 ""텔레그램 n번방, 반드시 입법완료 약속드린다..."
"49","국회 방문한 싱하이밍 중국대사","13일 오전 국회를 방문한 싱하이밍 주한중국대사가 문희상 국회의장과 더불어민주당 이인영 원내대표(한중외교안보포럼 부회장)와 인사를 나누고 있다. [CBS노컷뉴스 윤창원..."
"50","""27년 국회 행정 경험으로 성과 내겠다""","68·자유한국당·사진) 전 진주시장이 13일 진주시청에서 출마 기자회견을 열고 ""국회로 나아가 역동적인 진주와 국가발전을 위한 큰 일꾼이 되고자 출마를 결심하게 됐다..."
"51","안철수 국회 기자회견","안철수 국민당(가칭) 창당준비위원장이 13일 오전 국회 정론관에서 ‘공정과 정의를 바로 세우기 위한 혁신 방안’을 발표하기 위해 발언대로 향하고 있다. [CBS노컷뉴스..."
"52","[현장연결] 싱하이밍 주한 중국대사, 문희상 국회의장 예방","싱하이밍 주한 중국대사가 국회를 찾아 문희상 국회의장을 예방합니다. 신종 코로나19와 관련한 대화가 오갈 것으로 예상되는데요. 현장 연결해보겠습니다. [문희상 / 국회..."
"53","""주거불평등 해결할 후보자를 국회로"" 총선주거권연대 출범","광화문광장에서 2020 총선주거권연대 발족 및 4대 요구안을 발표하고 있다. 이들은 ""21대 국회의원 총선거에서 부동산 투기와 자산불평등을 부추기는 정당과 후보들을 심판..."
"54","문희상 국회의장, '일하는 국회개혁' 강조","(서울=국제뉴스) 구영회 기자 = 문희상 국회의장이 12일 ""2월 임시국회는 초당적 자세로 입법부 본연의 임무에 매진해야 한다""고 여야 국회의원들에게 강조했다.문희상 국회..."
"55","'소총 무장' 군대 거느리고 국회 들이닥친 엘살바도르 대통령","함께 의회 본회의장을 점거하고 있는 모습. AP연합뉴스 대규모 치안 장비 도입안을 추진해 국회와 갈등을 빚던 엘살바도르 대통령이 무장 군인과 경찰을 거느리고 국회 안..."
"56","정의당 비례 도전한 ‘90년생 페미니스트’ 조혜민 “무지개 깃발...","드러난다. 검은색 바탕에 노란색과 보라색으로 큼지막하게 적힌 '90년생 페미니스트 국회의원'이라는 슬로건은 선거용 구호를 넘어 언젠가 반드시 이루겠다는 그의 정치적..."
"57","[국회작동법 3부] 국회개혁, 총선과 만나다","----- 뉴스타파 총선기획 프로젝트 <국회작동법> 매번 ‘최악의 국회’라는 평가를 받고 있는 국회. 뉴스타파는 국회가 어떻게 작동하기에 이렇게 항상 욕을 먹는지 실상을..."
"58","'국회의원선거 꼭 투표하세요.'","기자 = 13일 부산시 선거관리위원회는 부산 연제구 도시철도 시청역 인근에 제21대 국회의원선거 참여를 홍보하는 현수기를 내걸었다. 2020.2.13 kangdcc@yna.co.kr..."
"59","고종윤·이덕춘 예비후보 ""국회 진출해 '청년부' 신설할 것""","갖고 있다. 2020.2.13 /뉴스1 ⓒ News1 김동규 기자 (전북=뉴스1) 김동규 기자 = 전북지역 국회의원 선거에 출마한 더불어민주당 청년 예비후보들이 ‘청년부’ 신설을 공약..."
"60","'고양이한테 맡긴 생선'..선거구 획정 또 시한 넘긴 국회","이인영 원내대표와 자유한국당 심재철 원내대표가 11일 오후 서울 여의도 국회에서 열린 2월 임시국회 의사일정 조율을 위한 여야 원내대표 회동에서 악수하고 있다. 왼쪽..."
"61","무장 군경 앞세워 국회 점거한 엘살바도르 대통령","엘살바도르 대통령AP 연합뉴스 엘살바도르에서 대통령이 무장 군경을 대동하고 국회에 진입하는 초유의 일이 벌어졌다. 10일(현지시간) 로이터통신에 따르면 나이브 부켈레..."
"62","[장석준, 그래도 진보정치] 녹색 국회의원이 있어야만 한다","녹색 뉴딜’에 열광하는 것도 바로 이 때문이다. 대한민국 제21대 국회에 이런 시대정신을 대변할 국회의원이 없다면, 얼마나 끔찍한 일이겠는가. 그 ‘잃어버린 4년’이..."
"63","與野, 임시국회 17일 개의 합의","이인영 민주당 원내대표와 심재철 한국당 원내대표가 11일 국회 운영위원장실에서 비공개 회동을 갖기 전 악수를 나누고 있다. 왼쪽부터 한국당 김한표 원내수석부대표, 심..."
"64","크루즈선 파문속.. 아베는 국회서 말싸움, 우한폐렴 담당 관료는 ...","아베 신조(安倍晋三) 일본 총리가 12일 야당 의원에게 야유를 보낸 일로 국회예산위원회가 정회(停會)하는 소동을 빚었다. 같은 회의에선 관료들의 불륜설이 제기되기도..."
"65","한국당 이창희 “27년 경력 국회전문가”","이창희 전 진주시장이 27년 동안 국회에서 근무를 한 경험 등을 바탕으로 진주시와 국가발전을 위한 큰일을 하겠다며 제21대 총선에 출사표를 던졌다. 이 전 시장은 13..."
"66","금융소비자보호법, 27일 국회 본회의 통과 유력","[헤럴드경제=홍석희 기자] 금융소비자보호법의 국회 본회의 통과 가능성이 높다는 국회측 관측이 나왔다. 금융소비자보호법은 담당 상임위인 국회 정무위원회를 지난해 11월..."
"67","균형발전 지방분권 충청권 공대위 ""혁신도시법 2월 국회 통과시켜라""","기자회견을 갖고 충남과 대전의 혁신도시 지정을 위한 국가균형발전특별법 개정안의 2월 국회 통과를 촉구했다. 충청권공대위는 기자회견에서 ""신종 코로나와 관련해 온..."
"68","21대 국회, 후계농 육성 위한 법·제도 마련해야","21대 국회, 이것만은! (4)농업인력 확보 2018년 농가수 102만가구 65세 이상 비율 44.7% 달해 40세 미만 경영주 7624명뿐 농어업분야 좋은 일자리 부족 단발성 아닌 체계적..."
"69","잠자는 '디지털성범죄' 법안들.. '2월 국회'에선 논의될까?","'텔레그램 n번방 사건'으로 촉발한 디지털 성범죄 해결을 위한 입법 청원은 국회의 책임 있는 조치를 요구한다. 날로 확산하는 디지털 성범죄와 관련한 입법 논의는 이미..."
"70","'암호화폐 AML' 특금법, 국회 통과 가능성 열려..정부-업계 촉각","[파이낸셜뉴스] 여야가 2월 임시국회 일정에 전격 합의하면서 암호화폐 관련 ‘특정 금융거래정보의 보고 및 이용 등에 관한 법률(특금법)’ 개정안이 20대 국회 회기 내..."
"71","[TF사진관] '노동 문제'위해 국회 찾은 이정희","이정희 전 통합진보당 대표(왼쪽에서 두 번째)가 12일 오후 서울 여의도 국회 의원회관에서 '진보정치가 놓치고 있던 노동문제들'이란 주제로 열린 토론회에 참석해 발제..."
"72","심상정 ""비례의석 확대보다 지역구 국회의원 당선 더 중요""","기자회견 하는 권영국 예비후보 (경주=연합뉴스) 김현태 기자 = 제21대 국회의원 선거에서 경주시 출마를 선언한 정의당 권영국 예비후보가 13일 오후 경북 경주시청에서..."
"73","민형배 예비후보, ""국회 혁신 3대 약속"" 공약","민주당 광산구을 예비후보는 13일 ‘아무도 흔들 수 없는 나라’를 위해 일하는 국회, 철저한 적폐청산, 민주정권 재창출 등 3대 약속을 제시했다. 민 예비후보는 생산성..."
"74","김정재 국회의원, 특별감찰관법 개정안 발의","김정재 국회의원(사진, 자유한국당, 포항 북구)은 대통령 측근비리로 정의와 공정이 무너졌다며 ‘특별감찰관법 개정안’을 발의했다고 13일 밝혔다. 특별감찰관은 대통령의..."
"75","무장 軍警과 함께 국회로 간 부켈레","산살바도르=AP연합뉴스 엘살바도르에서 대통령이 무장 군인과 경찰을 데리고 국회에 들어가 의원들을 압박해 비난여론이 거세다. CNN방송 등은 10일(현지시간) 나이브..."
"76","국회 환노위, 어린이집 정부지원 축소 대책 논의","김학용 국회 환경노동위원장은 지난 11일 국회 환노위 소회의실에서 ‘보육교직원에 대한 직업능력훈련규정 개선을 위한 간담회’를 개최했다. (사진=김학용 위원장실..."
"77","엘살바도르 국회에 무장 군인 등장..""쿠데타 시도"" 반발","부켈라 대통령과 함께 국회에 들어온 엘살바도르 군인들 / 사진=로이터 치안 예산 문제로 국회와 갈등을 겪던 엘살바도르 대통령이 무장 군인·경찰과 함께 국회 입성을..."
"78","'국회 패스트트랙' 재판일정 돌입","민주 “폭행 등 공소사실 부인” 한국 “총선 후로 연기해 달라” 정치권의 ‘국회 패스트트랙’(신속처리안건) 충돌 사건과 관련한 공판이 12일 더불어민주당을 시작으로..."
"79","임시국회 앞두고 코로나19 감염병 등 법안 '봇물'","바이러스 감염증(코로나19) 확진자 증가세가 연이틀 주춤한 것으로 나타난 가운데, 국회에서는 관련 법안 발의가 봇물처럼 쏟아지고 있다. 특히 2월 임시국회가 사실상 신종..."
"80","[사설] 국정 논의할 국회의원 선거에 지역민원이 판쳐선 안 된다","지방자치단체들이 4월 총선거를 앞두고 2월 임시국회에서 지역 숙원사업을 해결하기 위해 총력전을 펼치고 있다. 이번 임시국회가 지역 이해가 걸린 법률의 제·개정을 처리..."
"81","이세영, “국회 세종의사당 건립하겠다”","제21대 국회의원선거 세종시 선거구에 출마하는 더불어 민주당 이세영 예비후보는 13일 세종시청 2층 정음실에서 기자회견을 갖고, 공식출마를 선언했다.이 예비후보는 이날..."
"82","국회의원 선거사범 단속대책 회의하는 민갑룡 청장","뉴스1) 박정호 기자 = 민갑룡 경찰청장이 13일 서울 서대문구 경찰청에서 '제21대 국회의원 선거' 선거사범 단속대책 회의를 하고 있다. 경찰청은 오는 4월15일 치러질 제..."
"83","[그래픽] 역대 국회의원 선거구 획정일","(서울=연합뉴스) 장예진 기자 = 여야는 4·15 총선 국회의원 선거구 획정안을 내달 5일 본회의에서 처리하기로 13일 합의했다. jin34@yna.co.kr <저작권자(c) 연합뉴스..."
"84","열 감지기 설치·긴급 소독..국회도 '코로나' 비상","[앵커] 신종 코로나바이러스 감염증이 확산하면서 하루 수천 명이 드나드는 국회도 방역에 비상이 걸렸습니다. 감염자가 나오면 당장 입법 활동은 물론 4월 총선까지 대대적..."
"85","김현아 국회의원, 고양시정 제21대 국회의원선거 예비후보 등록","[고양=경기인터넷뉴스] 김현아 국회의원(자유한국당, 비례대표)이 12일 일산서구(고양시정) 제21대 국회의원선거 예비후보 등록을 마치고, 본격적인 선거운동에 돌입했다..."
"86","문희상 국회의장과 만나는 싱하이밍 중국대사","13일 오전 국회를 방문한 싱하이밍 주한중국대사가 문희상 국회의장과 더불어민주당 이인영 원내대표(한중외교안보포럼 부회장)와 인사를 나누고 있다. [CBS노컷뉴스 윤창원..."
"87","文의장, 여야 의원에 서한..""20대 국회 마지막까지 최선 당부""","[원주=뉴시스] 국회사진기자단 = 문희상 국회의장. 2020.01.30. photo@newsis.com [서울=뉴시스] 윤해리 기자 = 문희상 국회의장은 12일 2월 임시회 개의를 앞두고 여야..."
"88","제21대 국회의원 홍보 포스터","[수원=뉴시스] 김종택 기자 = 제21대 국회의원선거를 60여일 앞둔 13일 오후 경기 수원시 영통구 경기도선거관리위원회에서 관계자들이 '아름다운 선거-행복한 대한민국..."
"89","[Pick] '1호 국민 법안' 되나..'n번방 사건' 국회 청원 상임위 회부","글로벌 보안 메신저 '텔레그램'을 통한 디지털 성범죄를 막아달라는 국회 청원이 10만 명의 동의를 얻어 소관 상임위에 회부됐습니다. 지난달 15일 국회 '국민동의청원..."
"90","시민들 ""혐오세력 없는, 친일파 없는 국회 만들자"" 선언","완성을 위해 2020 총선에서 적폐세력 몰아내자. 적폐세력 없는 국회, 혐오세력 없는 국회, 친일파 없는 국회를 만들자."" '적폐청산과 민주사회건설 경남운동본부'(상임공동..."
"91","악수하는 문희상 국회의장-싱하이밍 중국대사","13일 오전 국회를 방문한 싱하이밍 주한중국대사가 문희상 국회의장과 인사를 하고 있다. [CBS노컷뉴스 윤창원 기자] skynamoo@cbs.co.kr"
"92","윤관석, 20대 국회 상임위 출석률 재선 이상 중 최고","일보, INCHEONILBO 더불어민주당 윤관석(인천 남동을·인천시당위원장) 의원이 20대 국회 4년 동안 인천지역 재선이상 의원 중 출석률이 가장 높은 것으로 나타났다. 13..."
"93","고상진 국회의원 익산시 갑 선거구 예비후보 출마","고상진 익산시 갑 선거구 국회의원 예비후보(대안신당 대변인)가 출마를 공식 선언했다.현재 대안신당의 대변인으로 활동하고 있는 고상진 예비후보가 지난 3일 익산시갑..."
"94","'국회의원이 되기 위하여'","[서울=뉴시스] 고승민 기자 = 12일 서울 여의도 국회 의원회관에서 열린 자유한국당 제21대 국회의원선거 후보자 면접에서 참가자들이 면접장으로 향하고 있다. 2020.02.12..."
"95","'일하는 국회' 되겠다더니..20대 국회 공약 이행률 46%","[서울신문]‘일하는 국회’를 만들겠다던 20대 국회의원들의 공약 이행률이 채 50%도 되지 않은 것으로 나타났다. 8일 한국매니페스토실천본부에 따르면, 지역구 국회의원..."
"96","법안 통과시키려고 자기 때린 국회의원에게 '무릎'까지 꿇은 '머...","[인사이트] 이원선 기자 = '머니게임' 고수가 토빈세 법안을 통과시키기 위해 국회의원 앞에서 무릎을 꿇었다. 지난 13일 방송된 tvN '머니게임'에서는 토빈세 통과를 위해..."
"97","'실손보험 청구 간소화' 법안 임시국회서 논의될까","청구할 수 있도록 하는 '실손보험 청구 간소화' 관련 보험업법 개정안이 20대 국회 문턱을 넘을 수 있을지 관심을 모으고 있다. 오는 17일부터 열리는 20대 국회 마지막..."
"98","김정재 국회의원, ‘특별감찰관법 개정안’ 발의","의원(자유한국당·포항 북구)은 특별감찰 대상자 확대, 대통령 배출 정당을 제외한 국회가 특별감찰관 후보자를 추천토록 하는 ‘특별감찰관법 일부개정 법률안’ 을 발의..."
"99","이재명 ""인권위, 수술실 CCTV 의무화 국회 입법 권고 환영""","이재명 경기도지사는 12일자신의 트위터를 통해 “인권위가 수술실 CCTV 의무화를 국회에 입법 권고한 것을 환영한다”고 밝혔다.ⓒ 뉴스1 (경기=뉴스1) 진현권 기자..."
"100","문희상 국회의장, 2월 임시회 관련 국회의원 전원에게 서한 보내","문희상 국회의장은 12일 여야 국회의원 전원에게 보낸 친전서한에서 2월 임시국회와 관련해 “국회는 초당적인 자세로 입법부 본연의 임무에 매진해야 한다”면서 “제20대..."
